Patron Type Code,Patron Type Definition,Total Checkouts,Total Renewals,Age Range,Home Library Code,Home Library Definition,Circulation Active Month,Circulation Active Year,Provided Email Address,Year Patron Registered
0,Adult,838,382,55 to 59 years,r3,Richmond,Jun,2023,TRUE,2003
0,Adult,1,0,25 to 34 years,r3,Richmond,Jun,2023,TRUE,2017
0,Adult,1007,528,60 to 64 years,s7,Sunset,Jul,2022,TRUE,2003
0,Adult,4806,3981,45 to 54 years,m6,Mission,Jun,2023,TRUE,2003
3,Senior,46,27,65 to 74 years,m6,Mission,May,2023,TRUE,2019
0,Adult,0,0,55 to 59 years,r3,Richmond,Jul,2022,TRUE,2022
2,Teen,88,34,10 to 19 years,c2,Chinatown,Feb,2023,TRUE,2019
2,Teen,0,0,10 to 19 years,c2,Chinatown,,,TRUE,2023
2,Teen,0,0,10 to 19 years,c2,Chinatown,,,TRUE,2023
0,Adult,0,0,45 to 54 years,c2,Chinatown,Jul,2023,TRUE,2023
0,Adult,0,0,45 to 54 years,c2,Chinatown,Jul,2023,TRUE,2017
1,Juvenile,0,0,10 to 19 years,c2,Chinatown,,,TRUE,2023
1,Juvenile,0,0,0 to 9 years,c2,Chinatown,Mar,2023,TRUE,2023
0,Adult,0,0,55 to 59 years,c2,Chinatown,Jul,2023,FALSE,2021
0,Adult,0,0,20 to 24 years,m6,Mission,Apr,2022,TRUE,2019
0,Adult,3,0,35 to 44 years,c2,Chinatown,Jul,2023,FALSE,2023
0,Adult,5,12,25 to 34 years,s7,Sunset,Feb,2023,TRUE,2013
0,Adult,1,0,55 to 59 years,s7,Sunset,Jun,2023,TRUE,2014
0,Adult,4,2,20 to 24 years,c2,Chinatown,Jun,2023,TRUE,2019
0,Adult,1,0,35 to 44 years,s7,Sunset,Jun,2023,TRUE,2019
0,Adult,0,0,25 to 34 years,c2,Chinatown,Jun,2023,TRUE,2019
0,Adult,1,1,25 to 34 years,m6,Mission,Nov,2020,TRUE,2019
0,Adult,0,0,25 to 34 years,r3,Richmond,Apr,2023,TRUE,2019
0,Adult,0,0,25 to 34 years,m6,Mission,Jun,2023,TRUE,2022
0,Adult,0,0,25 to 34 years,m6,Mission,,,TRUE,2022
0,Adult,88,97,35 to 44 years,m6,Mission,Jul,2023,TRUE,2011
0,Adult,23,27,25 to 34 years,m6,Mission,Jul,2023,TRUE,2018
0,Adult,0,0,25 to 34 years,c2,Chinatown,Jul,2023,TRUE,2017
0,Adult,0,0,45 to 54 years,c2,Chinatown,Jul,2023,TRUE,2019
0,Adult,0,0,35 to 44 years,c2,Chinatown,Jul,2023,TRUE,2015
